                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1789,                 1.6902,                 1.2091,                0.66457,                0.76375,                0.71344,                0.51548,                 1.1476,                 1.6379,                 1.1881,              0.0012734,              0.0012734,              0.0012734
                     36,                 1.2176,                 1.5606,                 1.1511,                0.67294,                0.70687,                0.75349,                0.51444,                 1.1807,                 1.6854,                 1.1557,              0.0012687,              0.0012687,              0.0012687
                     37,                 1.2914,                 1.6899,                 1.2382,                0.67294,                0.70687,                0.75349,                0.51444,                 1.1807,                 1.6854,                 1.1557,               0.001264,               0.001264,               0.001264
                     38,                 1.2697,                 1.8502,                 1.1971,                0.85956,                0.69765,                0.77383,                0.49541,                 1.1428,                 1.9138,                 1.1427,              0.0012592,              0.0012592,              0.0012592
                     39,                 1.1664,                 1.7169,                 1.1785,                0.85956,                0.69765,                0.77383,                0.49541,                 1.1428,                 1.9138,                 1.1427,              0.0012545,              0.0012545,              0.0012545
                     40,                 1.1804,                 1.6835,                 1.1841,                 0.6841,                0.68826,                0.78972,                0.51617,                 1.1091,                 1.9175,                 1.1504,              0.0012498,              0.0012498,              0.0012498
                     41,                  1.164,                 1.8884,                 1.2055,                 0.6841,                0.68826,                0.78972,                0.51617,                 1.1091,                 1.9175,                 1.1504,              0.0012451,              0.0012451,              0.0012451
                     42,                 1.0679,                 1.6249,                 1.1165,                0.78829,                0.71415,                0.75884,                0.51895,                 1.1805,                 1.6868,                 1.1639,              0.0012404,              0.0012404,              0.0012404
                     43,                 1.1186,                 1.6386,                 1.2272,                0.78829,                0.71415,                0.75884,                0.51895,                 1.1805,                 1.6868,                 1.1639,              0.0012357,              0.0012357,              0.0012357
                     44,                 1.0682,                  1.582,                 1.1197,                0.78829,                0.71415,                0.75884,                0.51895,                 1.1805,                 1.6868,                 1.1639,              0.0012309,              0.0012309,              0.0012309
                     45,                 1.2332,                 1.7469,                 1.3862,                0.71172,                0.62037,                0.75979,                0.53502,                  1.198,                 1.5659,                 1.1518,              0.0012262,              0.0012262,              0.0012262
                     46,                 1.1392,                  1.687,                 1.2744,                0.71172,                0.62037,                0.75979,                0.53502,                  1.198,                 1.5659,                 1.1518,              0.0012215,              0.0012215,              0.0012215
                     47,                 1.0787,                 1.6476,                 1.1586,                 0.7787,                0.73611,                0.76504,                0.53895,                  1.144,                 1.5871,                 1.1339,              0.0012168,              0.0012168,              0.0012168
                     48,                 1.0692,                 1.5218,                 1.1603,                 0.7787,                0.73611,                0.76504,                0.53895,                  1.144,                 1.5871,                 1.1339,              0.0012121,              0.0012121,              0.0012121
                     49,                 1.1021,                 1.5759,                 1.1318,                0.64293,                0.73148,                0.73354,                0.53763,                  1.104,                 1.6726,                 1.1281,              0.0012074,              0.0012074,              0.0012074
                     50,                 1.1595,                 1.8063,                 1.1891,                0.64293,                0.73148,                0.73354,                0.53763,                  1.104,                 1.6726,                 1.1281,              0.0012026,              0.0012026,              0.0012026
                     51,                 1.0475,                 1.3176,                  1.076,                0.64293,                0.73148,                0.73354,                0.53763,                  1.104,                 1.6726,                 1.1281,              0.0011979,              0.0011979,              0.0011979
                     52,                 1.0745,                 1.5969,                 1.1382,                0.83221,                0.77042,                0.81211,                  0.566,                  1.092,                  1.699,                 1.1137,              0.0011932,              0.0011932,              0.0011932
                     53,                0.98083,                 1.3527,                 1.0983,                0.83221,                0.77042,                0.81211,                  0.566,                  1.092,                  1.699,                 1.1137,              0.0011885,              0.0011885,              0.0011885
                     54,                 1.0067,                 1.3244,                 1.0123,                0.88852,                0.81481,                0.83882,                0.59775,                  1.065,                 1.7065,                 1.0811,              0.0011838,              0.0011838,              0.0011838
                     55,                 1.1266,                 1.4369,                 1.1349,                0.88852,                0.81481,                0.83882,                0.59775,                  1.065,                 1.7065,                 1.0811,              0.0011791,              0.0011791,              0.0011791
                     56,                 1.0683,                 1.4425,                 1.1319,                0.86598,                 0.8078,                0.83959,                0.60663,                 1.0791,                 1.5842,                 1.0945,              0.0011744,              0.0011744,              0.0011744
                     57,                 1.0692,                 1.5207,                 1.1666,                0.86598,                 0.8078,                0.83959,                0.60663,                 1.0791,                 1.5842,                 1.0945,              0.0011696,              0.0011696,              0.0011696
                     58,                 1.0895,                  1.308,                  1.142,                0.71762,                0.83909,                0.79429,                 0.5666,                 1.1275,                 1.5817,                 1.1045,              0.0011649,              0.0011649,              0.0011649
                     59,                 1.0824,                 1.5878,                 1.1626,                0.71762,                0.83909,                0.79429,                 0.5666,                 1.1275,                 1.5817,                 1.1045,              0.0011602,              0.0011602,              0.0011602
                     60,                 1.0482,                 1.4848,                 1.1395,                0.71762,                0.83909,                0.79429,                 0.5666,                 1.1275,                 1.5817,                 1.1045,              0.0011555,              0.0011555,              0.0011555
                     61,                  1.009,                 1.3885,                 1.0529,                0.75025,                0.76637,                0.80131,                0.59617,                 1.1425,                 1.5412,                 1.1341,              0.0011508,              0.0011508,              0.0011508
                     62,                 1.0333,                 1.3581,                 1.1325,                0.75025,                0.76637,                0.80131,                0.59617,                 1.1425,                 1.5412,                 1.1341,              0.0011461,              0.0011461,              0.0011461
                     63,                 1.1839,                 1.4316,                 1.1599,                0.77769,                0.73027,                0.79834,                0.59881,                 1.1246,                 1.4649,                 1.1234,              0.0011413,              0.0011413,              0.0011413
                     64,                0.96074,                 1.5514,                 1.1548,                0.77769,                0.73027,                0.79834,                0.59881,                 1.1246,                 1.4649,                 1.1234,              0.0011366,              0.0011366,              0.0011366
                     65,                0.99421,                 1.3014,                 1.0778,                0.77923,                0.72685,                0.77742,                0.58031,                 1.1027,                  1.355,                 1.1006,              0.0011319,              0.0011319,              0.0011319
                     66,                 1.0177,                 1.3032,                 1.0787,                0.77923,                0.72685,                0.77742,                0.58031,                 1.1027,                  1.355,                 1.1006,              0.0011272,              0.0011272,              0.0011272
                     67,                 0.9966,                 1.4429,                 1.1489,                0.77923,                0.72685,                0.77742,                0.58031,                 1.1027,                  1.355,                 1.1006,              0.0011225,              0.0011225,              0.0011225
                     68,                  1.099,                 1.5431,                  1.197,                0.69473,                0.76749,                0.74592,                0.53605,                 1.0888,                 1.3522,                 1.0824,              0.0011178,              0.0011178,              0.0011178
